id,group,name,weight,kcal,kcalPerG,carbohydrate,protein,fat,sugar,natrium,cholesterol,fattyAcid,transFattyAcid
625,유제품류 및 빙과류,복숭아샤벳,270,146.21,0.54,39.18,1.57,0.3,0,8.61,0,0,0
626,유제품류 및 빙과류,서양식 씨리얼(뮤즐리),105,158.6,1.51,25.76,5.25,4.76,0,27.14,0,0,0
627,유제품류 및 빙과류,식혜 팥빙수,150,135.85,0.91,33.08,3.66,0.01,0,5.36,0,0,0
628,유제품류 및 빙과류,홍시쉐이크,120,69.72,0.58,18.29,1.15,0.56,0,4.76,0,0,0
629,음료 및 차류,수정과,150,133.5,0.89,20.4,0.6,5.4,20.7,9.72,0,0,0.15
630,음료 및 차류,식혜,150,130.5,0.87,24.3,2.25,2.7,17.1,3.38,0,0,0
631,음료 및 차류,우유생강차,200,108,0.54,15.66,5.98,2.82,0,184.94,0,0,0
632,과일류,복숭아화채,101,72.8,0.72,16.7,1.35,1.1,0,1.69,0,0,0
633,과일류,수박화채,210,125.83,0.6,28.37,3.4,0.74,0,2.18,0,0,0
634,과일류,오렌지,200,44.44,0.22,11.11,0,0,11.12,22.22,0,0,0
635,당류,과일 젤리,160,140.45,0.88,34.99,1.31,0.18,0,25.3,0,0,0
636,당류,두부양갱,82,66.62,0.81,11.9,2.84,1.68,0,2.54,0,0,0
637,당류,딸기잼,20,48.6,2.43,12.58,0.08,0.02,0,0.6,0,0,0
638,"곡류, 서류 제품",가래떡,100,208.2,2.08,47.49,3.81,0.33,0,256.96,0,0.17,0
639,"곡류, 서류 제품",고구마경단,100,208.96,2.09,44.01,2.8,3.56,0,50.51,0,0,0
640,"곡류, 서류 제품",고구마란,92,165.97,1.8,35.59,2.82,2.76,0,12.69,0,0,0
641,"곡류, 서류 제품",고구마쑥단자,80,149.93,1.87,32.7,3.93,1.14,0,7.71,0,0,0
642,"곡류, 서류 제품",고추 장떡,103,250.36,2.43,41.24,6.86,5.8,0,110.68,0,0,0
643,"곡류, 서류 제품",김치떡,145,301.77,2.08,53.3,13.47,3.42,0,293.33,0,0,0
644,"곡류, 서류 제품",꿀떡,100,217.8,2.18,48.86,3.82,0.79,2.6,250.9,0.43,0.24,0
645,"곡류, 서류 제품",녹두시루떡,100,246,2.46,48.1,7.7,2.5,4,263.66,0,0.5,0
646,"곡류, 서류 제품","떡, 메밀전병 ",100,168,1.68,21.6,6.2,6.3,0.6,345.8,8.05,1.2,0
647,"곡류, 서류 제품","떡, 송편(깨) ",100,224,2.24,45,4.9,2.7,1.1,231.82,0,0.5,0
648,"곡류, 서류 제품","떡, 송편(콩) ",100,194,1.94,41.7,5.2,0.7,1.3,233.5,0,0.2,0
649,"곡류, 서류 제품","떡, 수수부꾸미",100,248,2.48,42.1,5.7,6.3,0.2,261,0,1,0
650,"곡류, 서류 제품","떡, 수수팥떡 ",100,204,2.04,43,6.7,0.6,2.8,241.93,0,0.2,0
651,"곡류, 서류 제품","떡, 쑥떡     ",100,249,2.49,57.9,3.4,0.4,10.7,254.32,0,0.2,0
652,"곡류, 서류 제품","떡,경단(깨)  ",100,319,3.19,74.2,4.4,0.5,26.6,180,0,0.5,0
653,"곡류, 서류 제품","떡,경단(콩)  ",100,314,3.14,74,3.5,0.5,20.6,225.83,0,0.2,0
654,"곡류, 서류 제품","떡,기피편    ",100,220,2.2,49,5.4,0.2,2.1,281.06,0,0.1,0
655,"곡류, 서류 제품",모듬옥수수,130,127.26,0.98,15,9.85,3.61,0,108.42,0,0,0
656,"곡류, 서류 제품",모듬찰떡,100,222.91,2.23,47.38,5.71,1.17,4.61,237.09,0,0.27,0
657,"곡류, 서류 제품",무지개떡,100,228.97,2.29,53.01,3.53,0.31,8.98,276.82,0,0.16,0
658,"곡류, 서류 제품",백설기,70,159.79,2.28,36.75,2.55,0.29,5.04,202.02,0,0.1,0
659,"곡류, 서류 제품",백설기,70,139.65,2,31.85,2.45,0,14.7,117.6,0,0,0
660,"곡류, 서류 제품",시루떡,100,217.48,2.17,47.54,5.47,0.61,3.22,277.91,0,0.24,0
661,"곡류, 서류 제품",약식,100,244.38,2.44,52.33,3.71,2.24,9.67,289.33,0,0.55,0.04
662,"곡류, 서류 제품",인절미,100,220.95,2.21,45.39,5.65,1.86,1.93,341.37,0,0.56,0
663,"곡류, 서류 제품",절편,100,192.89,1.93,43.94,3.64,0.28,0.07,265.87,0.03,0.19,0
664,"곡류, 서류 제품",증편,100,192.73,1.93,44.83,2.66,0.3,6.6,264.17,0,0.16,0
665,"곡류, 서류 제품",찹쌀떡,100,276.87,2.77,65.61,3.27,0.15,17.54,225.61,0,0.15,0
666,"두류, 견과 및 종실류",초당순두부(강릉),900,522.69,0.58,15.76,49.12,29.24,0.86,1203.35,0,3.83,0
667,수조어육류,낙지강회,104,51.65,0.5,6.93,6.68,0.46,0,152.59,0,0,0
668,수조어육류,대구포,100,141,1.41,2.3,32,0.4,0,3875.95,107.15,0.2,0
669,수조어육류,"돼지고기, 머리고기",100,324.88,3.25,1.74,21.22,26,0.03,166.82,85.55,7.6,0.19
670,수조어육류,북어포       ,20,66.4,3.32,0.32,15.42,0.38,0.22,128.99,85.02,0.14,0
671,수조어육류,어묵,30,12.72,0.42,0.84,0.84,0.66,0.28,36.17,0,0.03,0
672,수조어육류,육회,150,229.91,1.53,14.1,22.38,9.33,1.52,447.81,79.09,2.91,0.17
673,햄버거,레이디샌드위치,215,971.8,4.52,105.35,47.94,39.34,15.05,1270.65,6.99,10.1,0.47
674,햄버거,로스트 갈릭버거,153,638.55,4.17,61.4,24.39,32.82,15.66,1342.04,46.07,10.91,0.05
675,햄버거,불갈비버거,162,645.84,3.99,64.95,27.95,30.47,22.12,1352.09,50.15,11.47,0.68
676,햄버거,불고기버거,167,641.28,3.84,78.49,20.88,26.72,12.19,794.92,4.46,7.18,0.2
677,햄버거,불고기와퍼쥬니어,158,601.13,3.8,56.42,28.71,28.96,5.72,827.06,38.19,11.96,0.05
678,햄버거,불고기크리스피치킨버거,140,617.4,4.41,57.4,22.4,33.6,10.08,1132.6,42,7.84,0.28
679,햄버거,"빵,크로아쌍, 소시지크라상(버거킹)",100,349,3.49,2.6,11.8,27,0,737,0,0,0
680,햄버거,"사이다,사이다, 사이다(R)(버거킹)",100,165,1.65,17.6,0,0,0,0,0,0,0
681,햄버거,쉬림프징거버거,154,687.29,4.46,78.5,17.55,33.68,9.01,1542.96,53.74,7.76,0.5
682,햄버거,스위피버거,159,674.16,4.24,71.55,23.37,32.12,8.74,620.1,2.1,2.07,0.21
683,햄버거,싱글즈불고기 버거,140,519.03,3.71,50.04,23.58,24.95,13.84,605.23,31.4,10.66,0.04
684,햄버거,"양파링튀긴것,양파링튀긴것, 어니언링(L)(버거킹)",100,397,3.97,4.6,5.3,19.9,0,583,0,0,0
685,햄버거,"양파링튀긴것,양파링튀긴것, 어니언링(R)(버거킹)",100,404,4.04,4.3,5.3,20.2,0,585,0,0,0
686,햄버거,어린이불고기버거,136,503.3,3.7,53.55,24.38,21.29,10.41,657.9,45.96,9.19,0.04
687,햄버거,"오렌지쥬스,농축과즙, 오렌지주스(버거킹)",100,150,1.5,11,0.7,0,0,0,0,0,0
688,햄버거,와퍼주니어,158,630.42,3.99,52.14,26.86,34.76,7.27,900.6,56.88,12.17,0.05
689,햄버거,치즈버거,133,486.78,3.66,42.56,25.27,23.94,7.85,1000.16,61.18,11.44,0.05
690,햄버거,"커피,여과액, 커피(버거킹)",100,160,1.6,0.3,0,0,0,1,0,0,0
691,햄버거,"콜라,다이어트콜라, 다이어트(R)(버거킹)",100,4,0.04,0.3,0,0,0,0,0,0,0
692,햄버거,"콜라,일반콜라, 코카콜라(R)(버거킹)",100,150,1.5,18.6,0,0,0,0,0,0,0
693,햄버거,타바스코맛샌드위치,155,494.45,3.19,55.8,40.61,11.78,13.48,581.25,1.05,3.1,0.17
694,햄버거,트위스터,169,664.9,3.93,61.41,27.7,34.27,1.86,2876.09,51.52,10.85,0
695,햄버거,"파이,사과파이, 애플파이(버거킹)",100,266,2.66,19.5,2.7,13.3,0,204,0,0,0
696,햄버거,햄버거,121,370.26,3.06,38.72,20.57,14.52,7.62,620.73,52.03,7.38,0.05
697,햄버거,"햄버거,일반버거, 더블와퍼(버거킹)",100,264,2.64,2.3,14,16.9,0,281,0,0,0
698,햄버거,"햄버거,일반버거, 와퍼(버거킹)",100,244,2.44,3,10.7,14.8,0,333,0,0,0
699,햄버거,"햄버거,일반버거, 와퍼쥬니어(버거킹)",100,253,2.53,3.2,12,15.2,0,335,0,0,0
700,햄버거,"햄버거,일반버거, 햄버거(버거킹)",100,267,2.67,3.3,15.8,12.5,0,433,0,0,0
701,햄버거,"햄버거,치즈버거, 베이컨더블치즈버거(버거킹)",100,301,3.01,2.4,19.9,18.4,0,597,0,0,0
702,햄버거,"햄버거,치즈버거, 치즈버거(버거킹)",100,271,2.71,3,15.8,14.3,0,571,0,0,0
703,햄버거,"햄버거,치즈버거, 치즈와퍼햄버거(버거킹)",100,258,2.58,2.7,11.9,16.3,0,468,0,0,0
704,햄버거,"햄버거,치킨버거, 치킨버거(버거킹)",100,310,3.1,1.7,11.4,18.8,0,611,0,0,0
705,햄버거,"햄버거,치킨버거, 치킨와퍼(버거킹)",100,215,2.15,2,11.7,10.5,0,429,0,0,0
706,햄버거,"햄버거,휘시버거, BK휘시휠레햄버거(버거킹)",100,286,2.86,1.6,9.1,17.1,0,468,0,0,0
707,햄버거,휠레샌드위치,195,764.4,3.92,62.4,41.53,38.61,14.23,916.5,2.87,7.8,0.33
708,피자,게살몽땅(살사소스)_Premium gold pizza_L,134,421.42,3.14,41.42,13.87,19.81,5.58,431.69,23.77,9,0.56
709,피자,게살몽땅(살사소스)_Premium gold pizza_R,104,252.08,2.42,26.35,9.43,10.84,5.31,318.54,12.36,4.34,0.33
710,피자,게살몽땅(살사소스)_Premium orgin pizza_L,107,272.32,2.55,26.28,11.43,10.4,5.26,370.83,9.14,4.57,0.29
711,피자,게살몽땅(살사소스)_Premium orgin pizza_R,170,704,4.14,69.65,25.43,26.01,13.87,908.33,26.01,10.98,0.72
712,피자,곤졸라(스크린),101,291.14,2.88,47.04,9.31,7.26,3.68,289.1,0,6.85,0
713,피자,곤졸라(치크),120,413.83,3.45,43.01,23.56,16.31,5.32,766.68,0,8.73,0
714,피자,곤졸라(팬),105,302.47,2.88,40.1,18.26,7.67,3.93,403.37,0,4.94,0
715,피자,곤졸라(피타),66,155.37,2.35,11.91,8.98,7.98,1.97,181.9,0,5.09,0
716,피자,곤졸라(피타2조각),133,626.18,4.71,48,36.18,32.16,7.93,733.1,0,20.53,0
717,피자,골드큐브(스크린),137,510.52,3.73,62.23,21.64,19.45,11.86,709.87,0,10.04,0
718,피자,골드큐브(치크),169,793.54,4.7,71.01,45.33,36.42,15.96,1546.8,0,12.85,0
719,피자,골드큐브(팬),151,623.55,4.13,79.65,24.77,22.88,13.07,849.52,0,10.74,0
720,피자,골드큐브(피타),122,469.86,3.85,37.21,22.74,25.56,9.03,550.32,0,14.2,0
721,피자,까르보네 피자,184,883.2,4.8,149.04,40.48,12.88,20.24,1251.2,9.2,9.02,0
722,피자,도이치바이트 피자,188,1005.8,5.35,133.48,45.12,33.84,30.08,1560.4,9.4,22.56,0
723,피자,로인크레페피자,100,250,2.5,33,16,6,5,630,5,3.6,0
724,피자,멕시칸바이트 피자,196,1029,5.25,141.12,58.8,25.48,37.24,1489.6,19.6,17.64,0
725,피자,바베큐폭립 피자,104,286,2.75,38.48,14.56,8.32,5.2,374.4,5.2,4.58,0
726,피자,베이컨살라미(레귤러),70,128.02,1.83,16.2,6.59,4.1,1.66,230.65,0,2.12,0
727,피자,베이컨살라미(스크린),121,424.43,3.51,42.27,23.04,18.13,8.53,658.65,0,8.97,0
728,피자,베이컨살라미(팬),123,406.32,3.3,64.51,13.48,10.45,3.94,378.91,0,9.69,0
729,피자,베이컨살라미(피타),91,257.66,2.83,20.83,12.97,13.58,3.48,376.33,0,7.76,0
730,피자,베이컨수프림(스크린),141,537.14,3.81,57.63,30.1,20.69,7.77,829.65,0,12.96,0
731,피자,베이컨수프림(치크),189,965.24,5.11,72.13,67.06,45.34,11.56,2026.36,0,20.14,0
732,피자,베이컨수프림(팬),170,771.98,4.54,83.12,42.6,29.9,9.06,1223.11,0,17.28,0
733,피자,베이컨수프림(피타),134,543.99,4.06,40.02,32.52,28.2,7.03,626.26,0,16.47,0
734,피자,불고기(레귤러),58,84.32,1.45,9.6,5.24,2.77,1.43,142.27,0,1.64,0
735,피자,불고기(스크린),101,277.01,2.74,27.81,15.38,11.59,5.19,457.34,0,6.54,0
736,피자,불고기(치크),134,455.23,3.4,50.61,28.01,15.61,6.92,870.85,0,8.82,0
737,피자,불고기(팬),119,358.09,3.01,59.35,12.72,7.77,4.38,190.21,0,7.35,0
738,피자,불고기(피타),71,143.14,2.02,11.13,8.67,7.1,2.25,190.11,0,4.32,0
739,피자,수퍼슈프림(레귤러),71,127.92,1.8,15.75,7.61,3.83,1.81,237.18,0,2,0
740,피자,수퍼슈프림(치크),151,602.49,3.99,71.14,32.29,20.98,9.26,1190.9,0,10.49,0
741,피자,수퍼슈프림(팬),125,403.28,3.23,66.25,11.72,10.16,4.53,666.72,0,9.22,0
742,피자,수퍼슈프림(피타),98,272.38,2.78,25.78,14.99,12.14,4.21,419.71,0,7,0
743,피자,스위트골드(팬),129,443.08,3.43,71.46,14.16,11.16,8.16,926.64,0,9.49,0
744,피자,스위트포테이토(레귤러),77,164.99,2.14,17.79,8.46,6.66,2.25,247.65,0,3.33,0
745,피자,스위트포테이토(스크린),104,323.14,3.11,29.34,18.73,14.54,5.03,496.45,0,6.94,0
746,피자,스위트포테이토(치크),138,534.36,3.87,51.88,26.85,24.38,7.25,905.49,0,11.88,0
747,피자,스위트포테이토(팬),123,409.08,3.33,63.74,12.81,11.45,8.44,422.49,0,8.74,0
748,피자,스위트포테이토(피타),85,237.63,2.8,17.81,11.92,13.19,2.91,291.61,0,6.72,0
749,피자,스윗나마스떼(스크린),130,418.7,3.22,57.06,16.73,13.73,10.21,764.49,0,8.05,0
750,피자,스윗나마스떼(치크),180,843.07,4.68,70.87,52.01,39.01,20.65,1632.39,0,18.86,0
751,피자,스윗나마스떼(팬),162,667.07,4.12,81.17,29.93,24.74,17.31,897.82,0,16.18,0
752,피자,스윗나마스떼(피타),116,358.91,3.09,33.72,16.64,17.5,10.9,434.69,0,11.32,0
753,피자,스테이크피자,175,803.25,4.59,105,36.75,26.25,12.25,2607.5,8.75,15.75,1.23
754,피자,스피나치오크레마(스크린),131,395.41,3.02,56.26,18.66,10.64,7.19,680.15,0,9.56,0
755,피자,스피나치오크레마(치크),152,548.08,3.61,88.1,37.92,19.35,7.76,1273.25,0,9.55,0
756,피자,스피나치오크레마(팬),134,407.33,3.04,63.29,19.46,8.48,5.78,649.89,0,7.76,0
757,피자,스피나치오크레마(피타),109,298.62,2.74,30.58,15.66,12.63,2.97,419.69,0,10.68,0
758,피자,씨크릿가든_Premium gold pizza_L,133,471.76,3.55,68.6,15.34,15.15,5.47,703.14,32.45,12.52,0
759,피자,씨크릿가든_Premium gold pizza_R,103,256.71,2.49,41.42,9.58,5.86,2.77,256.08,23.21,3.73,0
760,피자,씨푸뜨아(스크린),122,401.88,3.29,43.12,21.02,16.15,8.08,797.34,0,7.32,0
761,피자,씨푸뜨아(치크),149,582.74,3.91,40.52,42.84,27.66,10.37,1409.23,0,9.6,0
762,피자,씨푸뜨아(팬),131,438.19,3.34,49.68,24.02,15.93,8.09,776.99,0,7.8,0
763,피자,씨푸뜨아(피타),118,403.62,3.42,31.48,19.87,22.02,7.06,678.47,0,11.56,0
764,피자,아이다호포테이토(스크린),124,440.98,3.56,55.51,13.22,18.45,4.15,394.55,0,13.53,0
765,피자,아이다호포테이토(치크),143,589.49,4.12,48.67,30.15,30.43,5.92,959.32,0,16.3,0
766,피자,아이다호포테이토(팬),130,435.54,3.35,60.8,17.68,13.51,5.08,651.39,0,8.23,0
767,피자,아이다호포테이토(피타),97,276.84,2.85,27.97,10.69,13.58,2.87,390.53,0,7.36,0
768,피자,야채피자(레귤러),56,84.59,1.51,11.28,4.47,2.4,0.94,130.82,0,1.53,0
769,피자,야채피자(스크린),89,213.3,2.4,26.13,10.65,7.35,3.06,349.63,0,4.43,0
770,피자,야채피자(치크),134,559.28,4.17,27.91,41.84,31.11,6.63,1048.94,0,15.5,0
771,피자,야채피자(팬),98,249.89,2.55,33.83,12.64,7.11,2.82,377.24,0,4.65,0
772,피자,야채피자(피타),58,104.63,1.8,9.15,6.03,4.88,1.21,124.74,0,3.21,0
